,Species,Pred_Species
230,Smelt,Smelt
231,Smelt,Smelt
232,Smelt,Smelt
233,Smelt,Smelt
234,Smelt,Smelt
235,Smelt,Smelt
236,Smelt,Smelt
237,Smelt,Smelt
238,Smelt,Smelt
239,Smelt,Smelt
240,Smelt,Smelt
241,Smelt,Smelt
242,Smelt,Smelt
243,Smelt,Smelt
244,Smelt,Smelt
245,Smelt,Smelt
246,Smelt,Smelt
247,Smelt,Smelt
248,Smelt,Smelt
249,Smelt,Smelt
250,Whitefish,Whitefish
251,Whitefish,Whitefish
252,Whitefish,Whitefish
253,Whitefish,Whitefish
254,Whitefish,Whitefish
255,Whitefish,Whitefish
256,Whitefish,Whitefish
257,Whitefish,Whitefish
258,Whitefish,Whitefish
259,Whitefish,Whitefish
260,Whitefish,Whitefish
261,Whitefish,Whitefish
262,Whitefish,Whitefish
263,Whitefish,Whitefish
264,Whitefish,Whitefish
265,Whitefish,Whitefish
266,Whitefish,Whitefish
267,Whitefish,Whitefish
268,Whitefish,Whitefish
269,Whitefish,Whitefish
270,Whitefish,Whitefish
271,Whitefish,Whitefish
272,Whitefish,Whitefish
273,Whitefish,Whitefish
274,Whitefish,Whitefish
275,Whitefish,Whitefish
276,Whitefish,Whitefish
277,Whitefish,Whitefish
278,Whitefish,Whitefish
279,Whitefish,Whitefish
280,Whitefish,Whitefish
281,Whitefish,Whitefish
282,Whitefish,Whitefish
283,Whitefish,Whitefish
284,Whitefish,Whitefish
285,Whitefish,Whitefish
286,Whitefish,Whitefish
